BuyerAgentAOR,ViewYN,PoolPrivateYN,CloseDate,ClosePrice,Latitude,Longitude,UnparsedAddress,PropertyType,LivingArea,BuyerOfficeName,BuyerAgentMlsId,BuyerAgentFirstName,BuyerAgentLastName,MLSAreaMajor,CountyOrParish,MlsStatus,ParkingTotal,PropertySubType,LotSizeAcres,BuyerOfficeAOR,YearBuilt,StreetNumberNumeric,BathroomsTotalInteger,City,BedroomsTotal,ContractStatusChangeDate,PurchaseContractDate,StateOrProvince,FireplaceYN,Stories,Levels,LotSizeArea,NewConstructionYN,GarageSpaces,PostalCode,LotSizeSquareFeet
PacificWest,True,False,2025-03-26,640000.0,33.8244,-117.984366,609 S Vicki Lane,Residential,1964.0,"Circa Properties, Inc.",prawwen,Wendy,Rawley,79 - Anaheim West of Harbor,Orange,Closed,2.0,SingleFamilyResidence,0.1928,PacificWest,1965.0,609.0,3.0,Anaheim,4.0,2025-03-26,2021-05-09,CA,True,2.0,Two,8400.0,False,2.0,92804,8400.0
VenturaCoastal,False,False,2025-03-31,860000.0,34.229317,-118.994601,5365 Holly Ridge Drive,Residential,1636.0,"eXp Realty of California, Inc",v211510948,Marisol,Mendoza,VC45 - Mission Oaks,Ventura,Closed,2.0,SingleFamilyResidence,0.13,VenturaCoastal,1975.0,5365.0,2.0,Camarillo,4.0,2025-03-31,2025-03-31,CA,True,1.0,One,5662.0,False,2.0,93012,5662.0
SanDiego,False,False,2025-03-31,805000.0,32.96400425,-117.06162108,13751 Powers Rd,Residential,1813.0,Keller Williams Realty,807528,Michael,Najar,92064 - Poway,San Diego,Closed,2.0,SingleFamilyResidence,0.1667,PacificSouthwest,1959.0,13751.0,3.0,Poway,4.0,2025-03-31,2025-03-31,CA,False,1.0,One,7132.0,False,0.0,92064,7260.0
MariposaCounty,True,False,2025-03-31,785000.0,37.088274,-119.825309,39770 Millstream Lane,Residential,2170.0,EXP Realty of California Inc.,MPgerkenj,Julie,Gerken,Unknown,Madera,Closed,2.0,SingleFamilyResidence,39.3,MariposaCounty,2012.0,39770.0,3.0,Madera,4.0,2025-03-31,2025-03-28,CA,True,1.0,One,1711908.0,False,2.0,93636,1711908.0
PacificWest,True,False,2025-03-31,4888888.0,33.696668,-117.627204,28780 Hidden Trail,Residential,4701.0,None MRML,none,NONE,NONE,699 - Not Defined,Orange,Closed,3.0,SingleFamilyResidence,0.4004,Mrmls,2024.0,28780.0,4.0,Silverado,4.0,2025-03-31,2025-03-31,CA,True,1.0,One,17441.0,True,3.0,92676,17441.0
Southland,True,True,2025-03-31,2635000.0,34.143821,-118.431601,4115 Weslin Avenue,Residential,2702.0,Realty Source Incorporated,CLW-X95971,Laura,Silver,SO - Sherman Oaks,Los Angeles,Closed,2.0,SingleFamilyResidence,0.37,OutOfAreaBoard,1948.0,4115.0,3.0,Sherman Oaks,4.0,2025-03-31,2025-03-31,CA,True,2.0,Two,16117.0,False,2.0,91423,16117.0
PacificWest,True,False,2025-03-31,5750000.0,33.696668,-117.627204,28770 Hidden Trail,Residential,5731.0,None MRML,none,NONE,NONE,699 - Not Defined,Orange,Closed,4.0,SingleFamilyResidence,0.5215,Mrmls,2024.0,28770.0,6.0,Silverado,4.0,2025-03-31,2025-03-31,CA,True,2.0,Two,22718.0,True,4.0,92676,22718.0
PacificWest,True,False,2025-03-31,4501003.0,33.696668,-117.627204,28892 Auburn Hills,Residential,5731.0,None MRML,none,NONE,NONE,699 - Not Defined,Orange,Closed,4.0,SingleFamilyResidence,0.4059,Mrmls,2025.0,28892.0,6.0,Silverado,4.0,2025-03-31,2025-03-31,CA,True,2.0,Two,17683.0,True,4.0,92676,17683.0
Mlslistings,False,False,2025-03-31,390000.0,37.61204686,-122.03325998,31958 Albany Street,Residential,1031.0,Compass,ML5095703,Gina Marie,Herrera,699 - Not Defined,Alameda,Closed,1.0,SingleFamilyResidence,0.1148,Mlslistings,1951.0,31958.0,1.0,Hayward,3.0,2025-03-31,2025-03-31,CA,True,1.0,Unknown,5000.0,False,1.0,94544,5000.0
PacificWest,True,False,2025-03-31,4343910.0,33.696668,-117.627204,28862 Auburn Hills,Residential,5409.0,None MRML,none,NONE,NONE,699 - Not Defined,Orange,Closed,4.0,SingleFamilyResidence,0.3179,Mrmls,2025.0,28862.0,7.0,Silverado,5.0,2025-03-31,2025-03-31,CA,True,2.0,Two,13847.0,True,4.0,92676,13847.0
