MLSAreaMajor,Stories,ViewYN,NewConstructionYN,Levels,PoolPrivateYN,BuyerOfficeAOR,GarageSpaces,LotSizeAcres,LotSizeSquareFeet,LotSizeArea,BuyerOfficeName,BuyerAgentFirstName,BuyerAgentMlsId,StreetNumberNumeric,UnparsedAddress,City,YearBuilt,FireplaceYN,BuyerAgentLastName,LivingArea,Latitude,Longitude,BuyerAgentAOR,BathroomsTotalInteger,ClosePrice,CloseDate,PropertyType,MlsStatus,ParkingTotal,PropertySubType,CountyOrParish,BedroomsTotal,StateOrProvince,PurchaseContractDate,ContractStatusChangeDate,PostalCode
54 - Hawaiian Gardens,1.0,False,False,Unknown,False,PacificWest,2.0,0.3879,16897.0,16897.0,"Joshua Cho, Broker",Joshua,nchojos,12309.0,12309 Carson Street,Hawaiian Gardens,1973.0,False,Cho,1580.0,33.83171,-118.069648,PacificWest,2.0,2.0,2025-05-27,CommercialLease,Closed,2.0,Office,Los Angeles,3.0,CA,2025-05-26,2025-05-27,90716
ADL - Adelanto,1.0,False,False,Unknown,False,HighDesert,2.0,4.91,213915.0,213915.0,Rigel Capital,James,HD12324,7162.0,7162 Emily Road,Adelanto,2007.0,False,Langley,1068.0,34.715717,-117.510439,HighDesert,2.0,399500.0,2025-05-08,Residential,Closed,2.0,ManufacturedOnLand,San Bernardino,3.0,CA,2024-09-17,2025-05-08,92301
Unknown,1.0,False,False,Unknown,False,HighDesert,2.0,2.3,100188.0,100188.0,Berkshire Hathaway HomeService,Heidy,HD22568,0.0,0 Markham Street,El Mirage,1979.0,False,Carrera,1580.0,34.612692,-117.641963,HighDesert,2.0,23000.0,2025-05-02,Land,Closed,2.0,Unknown,San Bernardino,3.0,CA,2025-04-23,2025-05-02,92301
MB - Monarch Beach,1.0,False,False,One,False,OrangeCounty,2.0,0.0888,3870.0,3870.0,Coldwell Banker Realty,Christopher,Szochchr,33581.0,33581 Moonsail Drive,Dana Point,1972.0,False,Zoch,1500.0,33.475311,-117.708995,OrangeCounty,2.0,6500.0,2025-05-11,ResidentialLease,Closed,2.0,SingleFamilyResidence,Orange,2.0,CA,2025-05-09,2025-05-11,92629
SMIG - San Miguel,1.0,False,False,Unknown,False,NorthSanLuisObispo,2.0,160.0,6969600.0,160.0,RE/MAX Success,Andrew,NS02217422,71825.0,71825 Vineyard Canyon Road,San Miguel,1979.0,False,Easterbrook,1580.0,35.882858,-120.562496,NorthSanLuisObispo,2.0,550000.0,2025-05-14,Land,Closed,2.0,Unknown,Monterey,3.0,CA,2025-03-30,2025-05-14,93451
92084 - Vista,1.0,False,False,Unknown,False,PacificWest,2.0,14.72,641203.2,14.72,Miranda Realty,Ellie,PWPHAELL,3574.0,3574 Hollyberry Drive,Vista,1979.0,False,Phan,1580.0,33.1875424,-117.181411,NorthSanDiegoCounty,0.0,1625000.0,2025-05-29,Land,Closed,0.0,Unknown,San Diego,3.0,CA,2024-05-05,2025-05-29,92084
SRCAR - Southwest Riverside County,2.0,False,False,Two,False,SanDiego,2.0,0.17,7405.0,7207.0,SDpremier,Ashraf,SAND-630680,32650.0,32650 Clearvail Dr,Temecula,2000.0,False,Salim,2180.0,33.47925865,-117.09012267,SanDiego,3.0,3500.0,2025-05-01,ResidentialLease,Closed,4.0,SingleFamilyResidence,Riverside,3.0,CA,2025-05-01,2025-05-01,92592
BAKR - Baker,1.0,False,False,Unknown,False,Mrmls,2.0,21.0,914760.0,21.0,None MRML,NONE,none,0.0,0 Baker Boulevard,Baker,1979.0,False,NONE,1580.0,35.276486,-116.05572,Newport,2.0,735000.0,2025-05-05,Land,Closed,2.0,Unknown,San Bernardino,3.0,CA,2020-09-07,2025-05-05,92364
83 - Fullerton,2.0,False,False,Two,False,BeverlyHillsGreaterLa,3.0,0.1777,7740.0,7740.0,"I & J Properties, Inc.",Alice,CLW-C119949,2856.0,2856 Muir Trail Drive,Fullerton,2003.0,False,Oh,3546.0,33.899427,-117.977995,PacificWest,4.0,1800000.0,2025-05-29,Residential,Closed,3.0,SingleFamilyResidence,Orange,5.0,CA,2025-03-26,2025-05-29,92833
680 - Mount Washington,1.0,False,False,One,False,BeverlyHillsGreaterLa,2.0,0.1078,4697.0,4697.0,Soulful Abode Los Angeles,Vanessa,CLW-X63244,1050.0,1050 Del Rio Avenue,Los Angeles,1940.0,False,Yan,1162.0,34.09598,-118.221993,Malibu,2.0,1200000.0,2025-05-19,Residential,Closed,2.0,SingleFamilyResidence,Los Angeles,2.0,CA,2025-05-01,2025-05-19,90065
