MLSAreaMajor,Stories,ViewYN,NewConstructionYN,Levels,PoolPrivateYN,BuyerOfficeAOR,GarageSpaces,LotSizeAcres,LotSizeSquareFeet,LotSizeArea,BuyerOfficeName,BuyerAgentFirstName,BuyerAgentMlsId,StreetNumberNumeric,UnparsedAddress,City,YearBuilt,FireplaceYN,BuyerAgentLastName,LivingArea,Latitude,Longitude,BuyerAgentAOR,BathroomsTotalInteger,ClosePrice,CloseDate,PropertyType,MlsStatus,ParkingTotal,PropertySubType,CountyOrParish,BedroomsTotal,StateOrProvince,PurchaseContractDate,ContractStatusChangeDate,PostalCode
92118 - Coronado,2.0,False,False,Two,False,SanDiego,2.0,0.1676,7298.0,7153.5,Compass,Vicki,SAND-2205,40.0,40 Sandpiper Strand,Coronado,1990.0,False,Inghram,2968.0,32.62808673,-117.13464319,SanDiego,3.0,2800000.0,2025-08-11,Residential,Closed,4.0,SingleFamilyResidence,San Diego,3.0,CA,2025-08-01,2025-08-11,92118
91910 - Chula Vista,1.0,False,False,ThreeOrMore,False,PacificSouthwest,2.0,0.79,34412.4,0.79,Keller Williams Realty,Jeffrey,807631,10.0,10 Second Avenue,Chula Vista,1885.0,False,Whittington,3782.0,32.65231,-117.080299,PacificSouthwest,3.0,1675000.0,2025-08-29,Residential,Closed,2.0,SingleFamilyResidence,San Diego,6.0,CA,2025-06-13,2025-08-29,91910
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,2.0,0.1842,8023.0,8023.0,Intero Real Estate Services,Odrina,ML5083875,252.0,252 More Avenue,Los Gatos,1964.0,False,Bebleh,1498.0,37.2601614,-121.98435661,Mlslistings,2.0,2190000.0,2025-08-29,Residential,Closed,2.0,SingleFamilyResidence,Santa Clara,4.0,CA,2025-08-29,2025-08-29,95032
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,2.0,0.1377,6000.0,6000.0,Kismet Real Estate,Sohrab,ML5098653,797.0,797 Fife Way,Sunnyvale,1961.0,False,Sangha,1528.0,37.34398119,-122.01902969,Mlslistings,2.0,2500000.0,2025-08-30,Residential,Closed,2.0,SingleFamilyResidence,Santa Clara,3.0,CA,2025-08-30,2025-08-30,94087
Unknown,1.0,False,False,One,False,SierraNorthValley,2.0,0.61,26572.0,26572.0,Real Broker Technologies,Douglas,CHSPEICHER,215.0,215 Redbud Drive,Paradise,1988.0,False,Speicher,2133.0,39.755692,-121.645678,SierraNorthValley,3.0,660000.0,2025-08-29,Residential,Closed,2.0,SingleFamilyResidence,Butte,3.0,CA,2025-08-29,2025-08-29,95969
Unknown,1.0,False,False,One,False,ContraCosta,3.0,0.3809,16592.0,16592.0,Coldwell Banker,Steve,CCBE-159511436,113.0,113 Lackland Court,Alamo,1978.0,False,Kehrig,3368.0,37.84623468,-121.96872742,BayEast,4.0,2000000.0,2025-08-30,Residential,Closed,3.0,SingleFamilyResidence,Contra Costa,5.0,CA,2025-08-30,2025-08-30,94507
77 - Anaheim Hills,2.0,False,False,Two,False,PacificWest,3.0,0.8264,36000.0,36000.0,Realty One Group West,George,PISSAGEO,795.0,795 S Dove Tree Lane,Anaheim,1992.0,False,Issa,4385.0,33.857575,-117.747824,PacificWest,4.0,2750000.0,2025-08-29,Residential,Closed,3.0,SingleFamilyResidence,Orange,5.0,CA,2025-08-29,2025-08-29,92808
91911 - Chula Vista,1.0,False,False,One,False,PacificSouthwest,0.0,0.18,7840.8,0.18,Coldwell Banker West,Amy,801025,804.0,804 Colorado Avenue,Chula Vista,1953.0,False,Saflar,900.0,32.618871,-117.090774,PacificSouthwest,1.0,500000.0,2025-08-29,Residential,Closed,2.0,SingleFamilyResidence,San Diego,3.0,CA,2025-08-28,2025-08-29,91911
699 - Not Defined,1.0,False,False,Unknown,False,Mlslistings,2.0,0.1552,6760.0,6760.0,Intero Real Estate Services,Erika,ML93964,1675.0,1675 Collingwood Avenue,San Jose,2013.0,False,Carrasco,2505.0,37.29437918,-121.90446745,Mlslistings,3.0,3148000.0,2025-08-29,Residential,Closed,2.0,SingleFamilyResidence,Santa Clara,3.0,CA,2025-08-29,2025-08-29,95125
MB - Monarch Beach,1.0,False,False,One,False,Laguna,3.0,0.2169,9450.0,9450.0,Engel & Voelkers Dana Point,Bryan,lggerlbry,23222.0,23222 Mindanao Circle,Dana Point,1976.0,False,Gerlach,3191.0,33.494169,-117.724929,Laguna,4.0,5425000.0,2025-08-29,Residential,Closed,6.0,SingleFamilyResidence,Orange,3.0,CA,2025-08-29,2025-08-29,92629
