ViewYN,PoolPrivateYN,CloseDate,ClosePrice,Latitude,Longitude,LivingArea,CountyOrParish,AttachedGarageYN,ParkingTotal,LotSizeAcres,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,ContractStatusChangeDate,PurchaseContractDate,ListingContractDate,FireplaceYN,Stories,LotSizeArea,MainLevelBedrooms,NewConstructionYN,GarageSpaces,PostalCode,LotSizeSquareFeet
False,False,2025-02-11,875000.0,32.76537972,-117.04348629999998,2340.0,San Diego,True,6.0,,2021.0,4.0,La Mesa,4.0,2025-02-11,2021-01-25,2021-01-05,False,1.0,,,False,2.0,91942,
False,False,2025-02-14,875000.0,32.76503815,-117.0435681,2165.0,San Diego,True,4.0,,2021.0,4.0,La Mesa,5.0,2025-02-14,2021-01-14,2021-01-05,False,1.0,,,False,2.0,91942,
False,False,2025-02-18,849000.0,32.76503141,-117.04325177,2158.0,San Diego,True,4.0,,2021.0,3.0,La Mesa,4.0,2025-02-18,2021-01-25,2020-10-22,False,1.0,,,False,2.0,91942,
True,False,2025-02-28,1100000.0,33.724000000000004,-118.294924,2545.0,Los Angeles,False,3.0,0.1033,1962.0,3.0,San Pedro,4.0,2025-02-28,2025-01-10,2024-11-18,True,2.0,4501.0,4.0,False,2.0,90731,4501.0
,False,2025-02-28,760000.0,37.68755592,-122.15011398,1692.0,Alameda,True,2.0,0.1157,1950.0,2.0,San Leandro,4.0,2025-02-28,2025-02-28,2025-02-28,True,1.0,5040.0,,False,2.0,94579,5040.0
False,,2025-02-28,1325000.0,36.60425295,-121.6993337,2051.0,Monterey,True,2.0,0.207,1965.0,3.0,Salinas,5.0,2025-02-28,2025-02-28,2025-02-28,True,1.0,9015.0,,False,2.0,93908,9015.0
False,True,2025-02-26,4750000.0,33.637536,-117.895599,3746.0,Orange,True,4.0,0.3489,1959.0,5.0,Newport Beach,6.0,2025-02-26,2025-01-31,2024-12-20,True,1.0,15200.0,5.0,False,4.0,92660,15200.0
True,True,2025-02-28,2200000.0,33.636362,-116.23391399999998,4168.0,Riverside,True,3.0,0.39,2005.0,6.0,La Quinta,4.0,2025-02-28,2025-02-28,2025-02-28,True,1.0,16988.0,,False,3.0,92253,16988.0
False,False,2025-02-28,1067500.0,33.874505,-118.345321,1344.0,Los Angeles,False,2.0,0.1256,1952.0,2.0,Torrance,3.0,2025-02-28,2025-02-28,2025-02-27,False,1.0,5469.0,3.0,False,2.0,90504,5469.0
True,,2025-02-28,5335000.0,34.012865000000005,-118.457218,3902.0,Los Angeles,False,2.0,0.1653,2019.0,5.0,Santa Monica,5.0,2025-02-28,2025-01-30,2025-01-29,True,2.0,7200.0,,False,2.0,90405,7200.0
True,False,2025-02-28,1784000.0,37.82355406,-121.98444563,1615.0,Contra Costa,True,2.0,0.3444,1956.0,2.0,Danville,3.0,2025-02-28,2025-02-28,2025-02-28,True,1.0,15004.0,,False,2.0,94526,15004.0
False,,2025-02-28,1800000.0,36.97821463,-122.04182225,1842.0,Santa Cruz,True,2.0,0.213,1954.0,2.0,Santa Cruz,3.0,2025-02-28,2025-02-28,2025-02-28,True,1.0,9278.0,,False,2.0,95060,9278.0
True,False,2025-02-28,1300000.0,34.220040999999995,-118.816482,2248.0,Ventura,,2.0,0.0516,1995.0,3.0,Thousand Oaks,4.0,2025-02-28,2025-02-28,2025-02-28,True,2.0,2248.0,,,2.0,91362,2248.0
True,False,2025-02-27,2250000.0,33.783475,-118.067771,3592.0,Orange,True,2.0,0.1052,2001.0,4.0,Seal Beach,6.0,2025-02-27,2025-02-27,2025-02-26,True,2.0,4581.0,1.0,False,2.0,90740,4581.0
True,False,2025-02-28,492900.0,34.450928999999995,-117.397941,1604.0,San Bernardino,True,2.0,0.1663,2024.0,2.0,Victorville,3.0,2025-02-28,2025-02-17,2025-02-03,False,1.0,7242.0,3.0,True,2.0,92392,7242.0
,False,2025-02-28,1225000.0,37.90981549,-121.59206861,2217.0,Contra Costa,True,2.0,0.1598,1985.0,2.0,Discovery Bay,3.0,2025-02-28,2025-02-28,2025-02-28,True,1.0,6960.0,,False,2.0,94505,6960.0
True,False,2025-02-27,1900000.0,33.099504,-117.274197,2510.0,San Diego,True,3.0,0.2,1997.0,3.0,Carlsbad,4.0,2025-02-27,2025-02-13,2025-01-14,True,2.0,0.2,1.0,False,3.0,92011,8712.0
True,False,2025-02-27,2230000.0,34.146373,-117.955365,3439.0,Los Angeles,True,3.0,0.6818,2013.0,4.0,Bradbury,4.0,2025-02-27,2025-01-29,2025-01-20,True,1.0,29700.0,4.0,False,3.0,91008,29700.0
True,True,2025-02-27,1650000.0,33.839013,-117.825628,2240.0,Orange,True,2.0,0.1877,1974.0,2.0,Anaheim,3.0,2025-02-27,2025-02-27,2025-02-27,True,1.0,8176.0,3.0,False,2.0,92807,8176.0
False,False,2025-02-27,1900000.0,33.01629862,-117.14712365,2465.0,San Diego,True,4.0,,2008.0,3.0,San Diego,4.0,2025-02-27,2025-02-09,2025-01-06,False,2.0,,,False,2.0,92127,
,False,2025-02-14,1300000.0,37.7767655,-122.26468482,1524.0,Alameda,True,1.0,0.0459,1914.0,2.0,Alameda,3.0,2025-02-14,2025-01-11,2025-01-11,True,2.0,2000.0,,False,1.0,94501,2000.0
False,False,2025-02-27,628000.0,34.135757,-117.862168,924.0,Los Angeles,True,1.0,0.2664,1914.0,2.0,Glendora,3.0,2025-02-27,2025-02-27,2025-02-27,True,1.0,11604.0,3.0,False,1.0,91741,11604.0
False,False,2025-02-27,755000.0,34.192415000000004,-118.499727,1418.0,Los Angeles,True,2.0,0.1487,1950.0,2.0,Van Nuys,3.0,2025-02-27,2025-02-27,2025-02-27,True,1.0,6476.0,3.0,False,2.0,91406,6476.0
False,False,2025-02-27,525000.0,34.652991,-120.441707,1617.0,Santa Barbara,True,2.0,0.14,1959.0,2.0,Lompoc,3.0,2025-02-27,2025-02-27,2024-11-24,False,1.0,6098.0,,,2.0,93436,6098.0
False,True,2025-02-28,3093000.0,33.64093,-117.899954,2123.0,Orange,True,2.0,0.1678,1959.0,3.0,Newport Beach,4.0,2025-02-28,2025-02-27,2025-02-27,True,2.0,7310.0,3.0,False,2.0,92660,7310.0
True,True,2025-02-27,4500000.0,33.776495000000004,-117.796739,7724.0,Orange,False,2.0,41818.0,1927.0,,North Tustin,5.0,2025-02-27,2025-02-27,2024-10-20,True,1.0,41818.0,5.0,False,2.0,92705,1821592080.0
True,,2025-02-27,1600000.0,34.137003,-118.366283,1501.0,Los Angeles,False,2.0,0.1854,1949.0,2.0,Studio City,2.0,2025-02-27,2025-02-26,2025-02-26,True,1.0,8076.0,,False,2.0,91604,8076.0
True,True,2025-02-28,3950000.0,34.149264,-118.651467,5182.0,Los Angeles,True,6.0,0.7942,1988.0,5.0,Calabasas,4.0,2025-02-28,2025-01-12,2025-01-11,True,2.0,34595.0,,False,3.0,91302,34595.0
False,,2025-02-21,1399000.0,36.38779619,-121.60420415,2100.0,Monterey,False,10.0,10.01,1988.0,3.0,Carmel Valley,4.0,2025-02-21,2025-02-27,2025-02-21,True,1.0,436036.0,,False,0.0,93924,436036.0
False,True,2025-02-26,3995000.0,34.16761,-118.416244,5435.0,Los Angeles,True,0.0,0.2928,2003.0,6.0,Sherman Oaks,5.0,2025-02-26,2025-02-25,2025-02-25,True,2.0,12754.0,,False,0.0,91401,12754.0
False,False,2025-02-26,3180000.0,33.894356,-118.402601,1890.0,Los Angeles,True,4.0,0.1162,1961.0,2.0,Manhattan Beach,4.0,2025-02-26,2025-02-26,2025-02-26,True,1.0,5060.0,,False,4.0,90266,5060.0
False,False,2025-02-26,706200.0,33.52195586,-117.12606872,2062.0,Riverside,,7.0,0.52,1976.0,2.0,Temecula,4.0,2025-02-26,2025-01-27,2024-12-27,True,1.0,22651.0,,False,2.0,92591,22651.0
True,False,2025-02-27,1555000.0,33.358125,-117.175858,3556.0,San Diego,True,3.0,2.53,2002.0,4.0,Fallbrook,4.0,2025-02-27,2025-01-15,2025-01-15,True,1.0,110207.0,4.0,False,3.0,92028,110207.0
False,False,2025-02-26,1825000.0,34.162236,-118.114491,3350.0,Los Angeles,True,2.0,0.4548,1920.0,2.0,Pasadena,5.0,2025-02-26,2025-02-26,2025-02-25,True,2.0,19809.0,2.0,False,2.0,91104,19809.0
False,,2025-02-26,2695000.0,37.3326117,-121.98283358,1571.0,Santa Clara,True,2.0,0.1731,1963.0,2.0,Santa Clara,3.0,2025-02-26,2025-02-26,2025-02-26,True,1.0,7540.0,,False,2.0,95051,7540.0
False,,2025-02-26,2500000.0,34.160672,-118.47866299999998,2784.0,Los Angeles,True,2.0,0.568,1951.0,3.0,Encino,5.0,2025-02-26,2025-02-24,2025-02-24,True,1.0,24743.0,,False,2.0,91436,24743.0
True,False,2025-02-26,3430000.0,34.136602,-118.886665,3758.0,Ventura,,2.0,0.0863,2000.0,4.0,Thousand Oaks,4.0,2025-02-26,2025-02-26,2025-02-26,True,2.0,3758.0,,,2.0,91361,3758.0
False,True,2025-02-24,1225000.0,33.879755,-117.789933,2496.0,Orange,True,2.0,0.1578,1970.0,3.0,Yorba Linda,4.0,2025-02-24,2025-01-16,2024-11-20,True,1.0,6875.0,3.0,False,2.0,92886,6875.0
False,False,2025-02-28,1800000.0,34.120926000000004,-118.163543,1829.0,Los Angeles,False,2.0,0.1247,1928.0,3.0,South Pasadena,3.0,2025-02-28,2025-02-26,2025-02-26,True,2.0,5433.0,,,2.0,91030,5433.0
False,False,2025-02-26,1400000.0,34.165344,-118.53981,1886.0,Los Angeles,True,2.0,0.155,1951.0,2.0,Tarzana,3.0,2025-02-26,2025-01-26,2025-01-26,True,1.0,6752.0,1.0,False,2.0,91356,6752.0
False,True,2025-02-26,2125000.0,34.147242,-118.496267,2080.0,Los Angeles,True,6.0,0.3433,1954.0,3.0,Encino,3.0,2025-02-26,2025-02-11,2025-02-03,True,1.0,14952.0,1.0,False,2.0,91436,14952.0
True,False,2025-02-24,580000.0,34.088635,-117.656977,1751.0,San Bernardino,True,2.0,0.1866,1965.0,2.0,Upland,4.0,2025-02-24,2025-02-04,2025-01-31,True,1.0,8127.0,4.0,False,2.0,91786,8127.0
True,False,2025-02-27,1900000.0,34.149733000000005,-118.845902,2396.0,Ventura,True,2.0,1.25,1971.0,3.0,Westlake Village,4.0,2025-02-27,2025-02-16,2025-02-15,True,2.0,54450.0,1.0,False,2.0,91361,54450.0
True,False,2025-02-26,1700000.0,33.893066,-118.3841,1054.0,Los Angeles,True,2.0,0.1147,1952.0,1.0,Manhattan Beach,3.0,2025-02-26,2025-02-26,2025-01-29,True,1.0,4995.0,3.0,False,2.0,90266,4995.0
True,True,2025-02-26,940000.0,33.73716,-117.943713,1809.0,Orange,True,2.0,0.1376,1963.0,2.0,Santa Ana,4.0,2025-02-26,2025-01-16,2025-01-10,True,1.0,5996.0,1.0,False,2.0,92704,5996.0
True,,2025-02-24,3150000.0,36.51520816,-121.80098503,3487.0,Monterey,True,2.0,0.56,1995.0,3.0,Carmel,4.0,2025-02-24,2025-02-25,2025-02-24,True,1.0,24394.0,,False,2.0,93923,24394.0
True,,2025-02-28,3975000.0,34.018989000000005,-118.430147,4133.0,Los Angeles,True,0.0,0.1626,2018.0,5.0,Los Angeles,4.0,2025-02-28,2025-02-25,2025-02-25,True,2.0,7083.0,,False,0.0,90066,7083.0
False,False,2025-02-26,950000.0,32.7602787,-117.0559028,1585.0,San Diego,,7.0,0.1653,1946.0,2.0,San Diego,3.0,2025-02-26,2025-01-27,2025-01-23,False,1.0,7200.0,,False,2.0,92115,7200.0
,False,2025-02-25,1900000.0,37.65544697,-121.89715947,3105.0,Alameda,True,2.0,0.0575,2016.0,4.0,Pleasanton,3.0,2025-02-25,2025-02-25,2025-02-25,True,1.0,2503.0,,False,2.0,94566,2503.0
False,False,2025-02-21,855000.0,32.94963648,-117.05589057,1598.0,San Diego,True,4.0,,1961.0,2.0,Poway,3.0,2025-02-21,2025-02-12,2025-01-24,False,1.0,,,False,2.0,92064,
True,False,2025-02-24,1820000.0,33.707964000000004,-117.74608700000002,1729.0,Orange,True,2.0,0.0803,2013.0,3.0,Irvine,3.0,2025-02-24,2025-02-07,2025-02-01,False,2.0,3500.0,0.0,False,2.0,92620,3500.0
True,True,2025-02-24,975000.0,33.750772,-116.424472,3287.0,Riverside,True,4.0,0.01,1964.0,4.0,Rancho Mirage,3.0,2025-02-24,2025-02-24,2025-02-24,True,1.0,436.0,,False,2.0,92270,436.0
False,True,2025-02-24,1550000.0,34.249709,-118.548623,2768.0,Los Angeles,True,2.0,0.3332,1962.0,4.0,Northridge,5.0,2025-02-24,2025-02-01,2025-02-01,True,1.0,14513.0,5.0,False,2.0,91324,14513.0
True,False,2025-02-21,843000.0,35.3866,-120.852029,1500.0,San Luis Obispo,True,2.0,0.1286,1952.0,2.0,Morro Bay,3.0,2025-02-21,2025-01-20,2024-11-23,False,2.0,5600.0,2.0,False,2.0,93442,5600.0
True,,2025-02-24,3100000.0,34.133896,-118.490275,2688.0,Los Angeles,,4.0,0.2732,1958.0,4.0,Encino,4.0,2025-02-24,2025-02-24,2025-01-25,True,1.0,11899.0,,False,4.0,91436,11899.0
True,True,2025-02-21,1400000.0,39.041189,-122.753269,4271.0,Lake,True,7.0,0.41,1990.0,5.0,Lucerne,5.0,2025-02-21,2025-01-28,2025-01-28,True,2.0,17860.0,4.0,False,3.0,95458,17860.0
False,,2025-02-21,8120000.0,37.36320467,-122.10757239,5000.0,Santa Clara,True,2.0,0.5824,2025.0,6.0,Los Altos,5.0,2025-02-21,2025-02-23,2025-02-21,True,1.0,25370.0,,False,2.0,94024,25370.0
True,False,2025-02-21,4924000.0,33.62429,-117.854267,3413.0,Orange,True,2.0,0.1373,1969.0,5.0,Newport Beach,5.0,2025-02-21,2025-01-18,2024-01-18,True,2.0,5980.0,0.0,False,2.0,92660,5980.0
True,False,2025-02-21,877500.0,33.08540103,-117.03901393,2300.0,San Diego,,8.0,0.6,1977.0,2.0,Escondido,4.0,2025-02-21,2025-02-21,2025-02-22,False,1.0,26136.0,,False,2.0,92025,26136.0
True,True,2025-02-20,1715000.0,34.17505,-118.399965,2538.0,Los Angeles,,0.0,0.1556,1948.0,4.0,Valley Village,4.0,2025-02-20,2025-02-20,2025-02-20,True,1.0,6780.0,4.0,False,0.0,91607,6780.0
False,,2025-02-28,1125000.0,37.39000323,-121.82476205,1498.0,Santa Clara,False,2.0,0.2388,1946.0,2.0,San Jose,3.0,2025-02-28,2025-02-23,2025-02-22,False,1.0,10403.0,,False,2.0,95127,10403.0
,False,2025-02-21,485000.0,38.01385784,-121.89385495,1502.0,Contra Costa,True,1.0,0.1033,1956.0,2.0,Pittsburg,3.0,2025-02-21,2025-02-21,2025-02-21,True,1.0,4500.0,,False,1.0,94565,4500.0
False,False,2025-02-28,685000.0,32.58152289,-117.07294731,1780.0,San Diego,True,4.0,,1970.0,3.0,San Diego,4.0,2025-02-28,2025-02-17,2025-01-31,False,1.0,,,False,2.0,92154,
True,False,2025-02-13,575000.0,32.685428,-117.052113,1702.0,San Diego,True,2.0,0.2135,1966.0,2.0,San Diego,3.0,2025-02-13,2025-02-03,2025-01-27,False,1.0,9300.0,,,2.0,92139,9300.0
False,True,2025-02-20,1840000.0,33.737656,-117.771829,2287.0,Orange,True,2.0,0.0919,1997.0,3.0,Irvine,4.0,2025-02-20,2025-02-20,2025-02-20,True,2.0,4005.0,1.0,False,2.0,92602,4005.0
False,False,2025-02-26,3800000.0,33.05426396,-117.29798373,2385.0,San Diego,,4.0,0.0938,1993.0,3.0,Encinitas,4.0,2025-02-26,2025-02-20,2025-02-20,False,2.0,4087.0,,False,2.0,92024,4087.0
False,False,2025-02-20,3200000.0,33.900809,-118.400145,3509.0,Los Angeles,True,2.0,0.1066,2001.0,4.0,Manhattan Beach,5.0,2025-02-20,2025-01-25,2024-12-16,True,1.0,4645.0,1.0,False,2.0,90266,4645.0
True,False,2025-02-27,793500.0,34.109167,-117.652312,1419.0,San Bernardino,False,2.0,0.2355,1955.0,2.0,Upland,3.0,2025-02-27,2025-02-23,2025-02-19,True,1.0,10260.0,3.0,False,2.0,91786,10260.0
True,False,2025-02-19,745000.0,33.742156,-118.296143,1073.0,Los Angeles,False,2.0,0.1144,1959.0,2.0,San Pedro,3.0,2025-02-19,2025-01-21,2025-01-19,False,1.0,4984.0,3.0,False,2.0,90731,4984.0
False,False,2025-02-20,2650000.0,32.68804811,-117.18452191,1164.0,San Diego,True,4.0,,1934.0,2.0,Coronado,3.0,2025-02-20,2025-02-20,2025-02-20,False,1.0,,,False,2.0,92118,
True,False,2025-02-21,2800000.0,34.180607,-119.22753,3019.0,Ventura,,2.0,0.11,1972.0,4.0,Oxnard,4.0,2025-02-21,2025-02-20,2025-02-20,True,2.0,4791.0,,,2.0,93035,4791.0
False,False,2025-02-27,675000.0,34.063505,-117.903249,1840.0,Los Angeles,False,6.0,0.2095,1956.0,2.0,West Covina,3.0,2025-02-27,2025-02-14,2025-02-07,True,1.0,9126.0,1.0,False,2.0,91791,9126.0
False,,2025-02-20,1080000.0,34.181047,-118.43161,1906.0,Los Angeles,False,2.0,0.1358,1955.0,2.0,Valley Glen,4.0,2025-02-20,2025-02-19,2025-02-01,True,1.0,5914.0,,False,2.0,91401,5914.0
False,,2025-02-19,2180000.0,37.28652817,-121.92297615,2608.0,Santa Clara,True,2.0,0.2379,1962.0,3.0,Campbell,3.0,2025-02-19,2025-02-20,2025-02-19,True,1.0,10362.0,,False,2.0,95008,10362.0
