ViewYN,PoolPrivateYN,CloseDate,ClosePrice,Latitude,Longitude,LivingArea,CountyOrParish,AttachedGarageYN,ParkingTotal,YearBuilt,BathroomsTotalInteger,City,BedroomsTotal,ContractStatusChangeDate,PurchaseContractDate,ListingContractDate,FireplaceYN,Stories,NewConstructionYN,GarageSpaces,PostalCode,PropertyAgeAtClose
False,False,2025-02-11,875000.0,32.76537972,-117.04348629999998,2340.0,San Diego,True,6.0,2021.0,4.0,La Mesa,4.0,2025-02-11,2021-01-25,2021-01-05,False,1.0,False,2.0,91942,4.0
False,False,2025-02-14,875000.0,32.76503815,-117.0435681,2165.0,San Diego,True,4.0,2021.0,4.0,La Mesa,5.0,2025-02-14,2021-01-14,2021-01-05,False,1.0,False,2.0,91942,4.0
False,False,2025-02-18,849000.0,32.76503141,-117.04325177,2158.0,San Diego,True,4.0,2021.0,3.0,La Mesa,4.0,2025-02-18,2021-01-25,2020-10-22,False,1.0,False,2.0,91942,4.0
True,False,2025-02-28,1100000.0,33.724000000000004,-118.294924,2545.0,Los Angeles,False,3.0,1962.0,3.0,San Pedro,4.0,2025-02-28,2025-01-10,2024-11-18,True,2.0,False,2.0,90731,63.0
False,False,2025-02-28,760000.0,37.68755592,-122.15011398,1692.0,Alameda,True,2.0,1950.0,2.0,San Leandro,4.0,2025-02-28,2025-02-28,2025-02-28,True,1.0,False,2.0,94579,75.0
False,False,2025-02-28,1325000.0,36.60425295,-121.6993337,2051.0,Monterey,True,2.0,1965.0,3.0,Salinas,5.0,2025-02-28,2025-02-28,2025-02-28,True,1.0,False,2.0,93908,60.0
False,True,2025-02-26,4750000.0,33.637536,-117.895599,3746.0,Orange,True,4.0,1959.0,5.0,Newport Beach,6.0,2025-02-26,2025-01-31,2024-12-20,True,1.0,False,4.0,92660,66.0
True,True,2025-02-28,2200000.0,33.636362,-116.23391399999998,4168.0,Riverside,True,3.0,2005.0,6.0,La Quinta,4.0,2025-02-28,2025-02-28,2025-02-28,True,1.0,False,3.0,92253,20.0
False,False,2025-02-28,1067500.0,33.874505,-118.345321,1344.0,Los Angeles,False,2.0,1952.0,2.0,Torrance,3.0,2025-02-28,2025-02-28,2025-02-27,False,1.0,False,2.0,90504,73.0
True,False,2025-02-28,5335000.0,34.012865000000005,-118.457218,3902.0,Los Angeles,False,2.0,2019.0,5.0,Santa Monica,5.0,2025-02-28,2025-01-30,2025-01-29,True,2.0,False,2.0,90405,6.0
True,False,2025-02-28,1784000.0,37.82355406,-121.98444563,1615.0,Contra Costa,True,2.0,1956.0,2.0,Danville,3.0,2025-02-28,2025-02-28,2025-02-28,True,1.0,False,2.0,94526,69.0
False,False,2025-02-28,1800000.0,36.97821463,-122.04182225,1842.0,Santa Cruz,True,2.0,1954.0,2.0,Santa Cruz,3.0,2025-02-28,2025-02-28,2025-02-28,True,1.0,False,2.0,95060,71.0
True,False,2025-02-28,1300000.0,34.220040999999995,-118.816482,2248.0,Ventura,False,2.0,1995.0,3.0,Thousand Oaks,4.0,2025-02-28,2025-02-28,2025-02-28,True,2.0,False,2.0,91362,30.0
True,False,2025-02-27,2250000.0,33.783475,-118.067771,3592.0,Orange,True,2.0,2001.0,4.0,Seal Beach,6.0,2025-02-27,2025-02-27,2025-02-26,True,2.0,False,2.0,90740,24.0
True,False,2025-02-28,492900.0,34.450928999999995,-117.397941,1604.0,San Bernardino,True,2.0,2024.0,2.0,Victorville,3.0,2025-02-28,2025-02-17,2025-02-03,False,1.0,True,2.0,92392,1.0
False,False,2025-02-28,1225000.0,37.90981549,-121.59206861,2217.0,Contra Costa,True,2.0,1985.0,2.0,Discovery Bay,3.0,2025-02-28,2025-02-28,2025-02-28,True,1.0,False,2.0,94505,40.0
True,False,2025-02-27,1900000.0,33.099504,-117.274197,2510.0,San Diego,True,3.0,1997.0,3.0,Carlsbad,4.0,2025-02-27,2025-02-13,2025-01-14,True,2.0,False,3.0,92011,28.0
True,False,2025-02-27,2230000.0,34.146373,-117.955365,3439.0,Los Angeles,True,3.0,2013.0,4.0,Bradbury,4.0,2025-02-27,2025-01-29,2025-01-20,True,1.0,False,3.0,91008,12.0
True,True,2025-02-27,1650000.0,33.839013,-117.825628,2240.0,Orange,True,2.0,1974.0,2.0,Anaheim,3.0,2025-02-27,2025-02-27,2025-02-27,True,1.0,False,2.0,92807,51.0
False,False,2025-02-27,1900000.0,33.01629862,-117.14712365,2465.0,San Diego,True,4.0,2008.0,3.0,San Diego,4.0,2025-02-27,2025-02-09,2025-01-06,False,2.0,False,2.0,92127,17.0
False,False,2025-02-14,1300000.0,37.7767655,-122.26468482,1524.0,Alameda,True,1.0,1914.0,2.0,Alameda,3.0,2025-02-14,2025-01-11,2025-01-11,True,2.0,False,1.0,94501,111.0
False,False,2025-02-27,628000.0,34.135757,-117.862168,924.0,Los Angeles,True,1.0,1914.0,2.0,Glendora,3.0,2025-02-27,2025-02-27,2025-02-27,True,1.0,False,1.0,91741,111.0
False,False,2025-02-27,755000.0,34.192415000000004,-118.499727,1418.0,Los Angeles,True,2.0,1950.0,2.0,Van Nuys,3.0,2025-02-27,2025-02-27,2025-02-27,True,1.0,False,2.0,91406,75.0
False,False,2025-02-27,525000.0,34.652991,-120.441707,1617.0,Santa Barbara,True,2.0,1959.0,2.0,Lompoc,3.0,2025-02-27,2025-02-27,2024-11-24,False,1.0,False,2.0,93436,66.0
False,True,2025-02-28,3093000.0,33.64093,-117.899954,2123.0,Orange,True,2.0,1959.0,3.0,Newport Beach,4.0,2025-02-28,2025-02-27,2025-02-27,True,2.0,False,2.0,92660,66.0
True,True,2025-02-27,4500000.0,33.776495000000004,-117.796739,7724.0,Orange,False,2.0,1927.0,2.0,North Tustin,5.0,2025-02-27,2025-02-27,2024-10-20,True,1.0,False,2.0,92705,98.0
True,False,2025-02-27,1600000.0,34.137003,-118.366283,1501.0,Los Angeles,False,2.0,1949.0,2.0,Studio City,2.0,2025-02-27,2025-02-26,2025-02-26,True,1.0,False,2.0,91604,76.0
True,True,2025-02-28,3950000.0,34.149264,-118.651467,5182.0,Los Angeles,True,6.0,1988.0,5.0,Calabasas,4.0,2025-02-28,2025-01-12,2025-01-11,True,2.0,False,3.0,91302,37.0
False,False,2025-02-21,1399000.0,36.38779619,-121.60420415,2100.0,Monterey,False,10.0,1988.0,3.0,Carmel Valley,4.0,2025-02-21,2025-02-27,2025-02-21,True,1.0,False,0.0,93924,37.0
False,True,2025-02-26,3995000.0,34.16761,-118.416244,5435.0,Los Angeles,True,0.0,2003.0,6.0,Sherman Oaks,5.0,2025-02-26,2025-02-25,2025-02-25,True,2.0,False,0.0,91401,22.0
False,False,2025-02-26,3180000.0,33.894356,-118.402601,1890.0,Los Angeles,True,4.0,1961.0,2.0,Manhattan Beach,4.0,2025-02-26,2025-02-26,2025-02-26,True,1.0,False,4.0,90266,64.0
False,False,2025-02-26,706200.0,33.52195586,-117.12606872,2062.0,Riverside,False,7.0,1976.0,2.0,Temecula,4.0,2025-02-26,2025-01-27,2024-12-27,True,1.0,False,2.0,92591,49.0
True,False,2025-02-27,1555000.0,33.358125,-117.175858,3556.0,San Diego,True,3.0,2002.0,4.0,Fallbrook,4.0,2025-02-27,2025-01-15,2025-01-15,True,1.0,False,3.0,92028,23.0
False,False,2025-02-26,1825000.0,34.162236,-118.114491,3350.0,Los Angeles,True,2.0,1920.0,2.0,Pasadena,5.0,2025-02-26,2025-02-26,2025-02-25,True,2.0,False,2.0,91104,105.0
False,False,2025-02-26,2695000.0,37.3326117,-121.98283358,1571.0,Santa Clara,True,2.0,1963.0,2.0,Santa Clara,3.0,2025-02-26,2025-02-26,2025-02-26,True,1.0,False,2.0,95051,62.0
False,False,2025-02-26,2500000.0,34.160672,-118.47866299999998,2784.0,Los Angeles,True,2.0,1951.0,3.0,Encino,5.0,2025-02-26,2025-02-24,2025-02-24,True,1.0,False,2.0,91436,74.0
True,False,2025-02-26,3430000.0,34.136602,-118.886665,3758.0,Ventura,False,2.0,2000.0,4.0,Thousand Oaks,4.0,2025-02-26,2025-02-26,2025-02-26,True,2.0,False,2.0,91361,25.0
False,True,2025-02-24,1225000.0,33.879755,-117.789933,2496.0,Orange,True,2.0,1970.0,3.0,Yorba Linda,4.0,2025-02-24,2025-01-16,2024-11-20,True,1.0,False,2.0,92886,55.0
False,False,2025-02-28,1800000.0,34.120926000000004,-118.163543,1829.0,Los Angeles,False,2.0,1928.0,3.0,South Pasadena,3.0,2025-02-28,2025-02-26,2025-02-26,True,2.0,False,2.0,91030,97.0
False,False,2025-02-26,1400000.0,34.165344,-118.53981,1886.0,Los Angeles,True,2.0,1951.0,2.0,Tarzana,3.0,2025-02-26,2025-01-26,2025-01-26,True,1.0,False,2.0,91356,74.0
False,True,2025-02-26,2125000.0,34.147242,-118.496267,2080.0,Los Angeles,True,6.0,1954.0,3.0,Encino,3.0,2025-02-26,2025-02-11,2025-02-03,True,1.0,False,2.0,91436,71.0
True,False,2025-02-24,580000.0,34.088635,-117.656977,1751.0,San Bernardino,True,2.0,1965.0,2.0,Upland,4.0,2025-02-24,2025-02-04,2025-01-31,True,1.0,False,2.0,91786,60.0
True,False,2025-02-27,1900000.0,34.149733000000005,-118.845902,2396.0,Ventura,True,2.0,1971.0,3.0,Westlake Village,4.0,2025-02-27,2025-02-16,2025-02-15,True,2.0,False,2.0,91361,54.0
True,False,2025-02-26,1700000.0,33.893066,-118.3841,1054.0,Los Angeles,True,2.0,1952.0,1.0,Manhattan Beach,3.0,2025-02-26,2025-02-26,2025-01-29,True,1.0,False,2.0,90266,73.0
True,True,2025-02-26,940000.0,33.73716,-117.943713,1809.0,Orange,True,2.0,1963.0,2.0,Santa Ana,4.0,2025-02-26,2025-01-16,2025-01-10,True,1.0,False,2.0,92704,62.0
True,False,2025-02-24,3150000.0,36.51520816,-121.80098503,3487.0,Monterey,True,2.0,1995.0,3.0,Carmel,4.0,2025-02-24,2025-02-25,2025-02-24,True,1.0,False,2.0,93923,30.0
True,False,2025-02-28,3975000.0,34.018989000000005,-118.430147,4133.0,Los Angeles,True,0.0,2018.0,5.0,Los Angeles,4.0,2025-02-28,2025-02-25,2025-02-25,True,2.0,False,0.0,90066,7.0
False,False,2025-02-26,950000.0,32.7602787,-117.0559028,1585.0,San Diego,False,7.0,1946.0,2.0,San Diego,3.0,2025-02-26,2025-01-27,2025-01-23,False,1.0,False,2.0,92115,79.0
False,False,2025-02-25,1900000.0,37.65544697,-121.89715947,3105.0,Alameda,True,2.0,2016.0,4.0,Pleasanton,3.0,2025-02-25,2025-02-25,2025-02-25,True,1.0,False,2.0,94566,9.0
False,False,2025-02-21,855000.0,32.94963648,-117.05589057,1598.0,San Diego,True,4.0,1961.0,2.0,Poway,3.0,2025-02-21,2025-02-12,2025-01-24,False,1.0,False,2.0,92064,64.0
True,False,2025-02-24,1820000.0,33.707964000000004,-117.74608700000002,1729.0,Orange,True,2.0,2013.0,3.0,Irvine,3.0,2025-02-24,2025-02-07,2025-02-01,False,2.0,False,2.0,92620,12.0
