feature,importance
ZipMeanPrice,0.20201136088380048
City_MeanPrice,0.12716616747783152
SqrtLivingArea,0.0620196021850004
LivingAreaSquared,0.0599879287523416
BathroomsTotalInteger,0.05579260966147686
LivingArea,0.048076690865134504
CoordSum,0.04708019507501504
RegionCluster_30_MeanPrice,0.04522059414039406
SqrtBathrooms,0.042826525453883386
ViewSize,0.026740347205575762
TotalRooms,0.02136337216499366
BathToBedRatio,0.021197567889973724
AreaPerStory,0.020435184819988707
RegionCluster_10,0.017919424374533664
SqFtPerBedroom,0.01645510880894329
DistTo_Inland_Empire,0.010433723955498802
DistTo_Central_Coast,0.010086501133401142
LongitudeRounded,0.009495155741562594
Longitude,0.009173657891533793
BedroomDensity,0.008331532822107123
DistTo_Desert_Region,0.007766966611530981
RegionCluster_20,0.007469022472326364
Latitude,0.0071404453661586455
CoordProduct,0.006361492245549027
GarageRatio,0.006207399886975194
LatitudeRounded,0.0055085801583497
DistTo_Sacramento_Area,0.005504557347271577
DistTo_Wine_Country,0.005360593528117496
SqrtBedrooms,0.0052218834212339445
DistTo_LA_Metro_Center,0.004886597129674302
DistTo_San_Diego_Region,0.00483298640039663
PostalCode_Freq,0.0048261739122497675
RegionCluster_30,0.004761148664722477
DistTo_Central_Valley,0.004666864581492708
City_Freq,0.004651597959155582
DistTo_Bay_Area_Center,0.004619184014912235
DistTo_Orange_County,0.0045886196765226005
CoordDistance,0.004513945724691095
DistToClosestRegion,0.004176066146494344
ZipCount,0.003913539779612718
BedroomsTotal,0.0037569101188008186
CountyOrParish_Freq,0.003608283381329398
ParkingRatio,0.0026901333332143553
SqFtPerBathroom,0.002238659169659973
AgeSquared,0.0019312552097361642
BathroomDensity,0.0019307761658671925
GarageSpaces,0.0018341362719082588
PropertyAgeAtClose,0.0017409058197267035
YearBuilt,0.001726224983180578
SqrtAge,0.0016354045595485891
FireplaceYN,0.0011887064164660928
MarketWeeks,0.0009707106422801135
MarketDays,0.0008720834101280879
QualityScore,0.0007951544337878046
Stories,0.0007252573747698584
EscrowDays,0.0004983486385975245
PoolAndView,0.00046924814804798985
ParkingTotal,0.0004176844263262795
IsMultiStory,0.0003425648671185092
PoolPrivateYN,0.00030561004220158294
AmenityCount,0.0002958307592557179
CloseDayOfMonth,0.00021281211413977255
CloseMonth,0.00015667491894117422
QuickSale_30days,0.00014962399356334226
FireplaceAndGarage,0.00011989675432659654
ViewYN,0.00010732188321755606
AttachedGarageYN,0.0001021439744506325
CloseDayOfWeek,9.971656748788557e-05
CloseQuarter,6.621672504071076e-05
FiscalQuarter,5.348072163170245e-05
LongSale_90days,4.8347364020162344e-05
IsSummerMarket,4.4854259824220896e-05
IsSpringMarket,4.243492282307487e-05
NewConstructionSize,1.0424658801197601e-05
IsWinterMarket,8.357977260244357e-06
NewConstructionYN,7.004422137450757e-06
IsFallMarket,5.884239955193077e-06
CloseYear,0.0
IsWeekend,0.0
